Rank,Artist,Listeners,PkListeners,Daily Trend
326,Becky Hill,"18,830,073","20,058,164","-33,729"
327,Julia Michaels,"18,826,294","19,031,718","-30,139"
328,Pink Floyd,"18,791,532","19,735,588","42,817"
329,Hotel Ugly,"18,736,585","18,736,585","49,078"
330,The Offspring,"18,727,741","18,974,256","66,985"
331,MC Kevin o Chris,"18,621,476","19,054,899","-15,142"
332,Danny Ocean,"18,500,280","19,413,332","-30,000"
333,Migos,"18,431,323","19,231,013","33,372"
334,Led Zeppelin,"18,414,926","19,271,072","-29,609"
335,Avril Lavigne,"18,335,483","20,377,425","-17,103"
336,Juanes,"18,327,301","18,327,301","28,549"
337,Journey,"18,282,249","18,820,358","-24,205"
338,Vishal Mishra,"18,261,208","18,261,208","46,682"
339,French Montana,"18,158,009","18,824,754","-12,886"
340,Train,"18,142,889","18,233,868","-1,265"
341,Doechii,"18,083,033","18,255,625","-40,733"
342,Piso 21,"18,041,669","18,475,745","-52,384"
343,Jonita Gandhi,"18,013,716","18,013,716","90,475"
344,R.E.M.,"17,988,456","18,075,934","-17,031"
345,Carly Rae Jepsen,"17,950,309","18,869,973","-72,844"
346,Elvis Presley,"17,943,572","18,250,177","3,867"
347,Oliver Tree,"17,918,599","33,995,315","-19,456"
348,blink-182,"17,911,522","18,320,916",676
349,Cigarettes After Sex,"17,884,283","17,884,283","28,252"
350,Alec Benjamin,"17,821,830","21,741,517","-1,021"
351,"Earth, Wind & Fire","17,739,235","17,814,587","69,036"
352,Kelly Clarkson,"17,736,733","19,069,054","44,476"
353,League of Legends,"17,629,115","19,497,150","-1,472"
354,Joel Corry,"17,608,419","18,601,830",237
355,Dire Straits,"17,583,132","17,760,775","-3,510"
356,a-ha,"17,509,236","19,841,837","18,570"
357,Shaggy,"17,474,596","18,459,819","7,058"
358,Aventura,"17,468,742","17,471,920",-751
359,System Of A Down,"17,456,630","18,130,029","38,758"
360,ManÃ¡,"17,455,399","18,038,073","-19,293"
361,Daryl Hall & John Oates,"17,454,211","17,454,211","35,165"
362,BeÃ©le,"17,430,193","17,430,193","58,869"
363,blackbear,"17,365,114","19,962,853","-22,893"
364,Justin Quiles,"17,364,884","21,467,956","-3,684"
365,Little Mix,"17,298,704","18,369,704","6,054"
366,Ãengo Flow,"17,290,081","22,145,574","5,978"
367,Luis Miguel,"17,287,281","18,979,295","-71,894"
368,Dean Lewis,"17,282,123","19,535,547","-30,236"
369,De La Ghetto,"17,276,193","20,551,958","-36,724"
370,YoungBoy Never Broke Again,"17,263,743","19,051,130","76,609"
371,Baby Keem,"17,258,372","19,003,131","7,503"
372,Alessia Cara,"17,190,344","17,349,861","27,606"
373,PARTYNEXTDOOR,"17,182,482","18,054,870","26,823"
374,Vishal Dadlani,"17,102,060","18,868,957","69,105"
375,Niall Horan,"17,046,772","27,578,996","-37,431"
376,Jason Mraz,"17,024,069","17,226,912","-32,684"
377,G-Eazy,"17,013,957","17,912,081","65,527"
378,Backstreet Boys,"16,972,687","17,431,880","14,853"
379,Sonu Nigam,"16,957,534","17,180,089","-23,325"
380,The Cranberries,"16,946,878","16,946,878","39,673"
381,The Cure,"16,913,364","17,197,307","25,795"
382,Chinmayi,"16,911,977","16,911,977","26,041"
383,Lil Tjay,"16,885,557","19,548,091","-22,251"
384,Atif Aslam,"16,866,865","17,893,030","1,763"
385,Cris Mj,"16,861,487","19,079,138","-155,874"
386,Steve Aoki,"16,859,565","21,606,912","-20,905"
387,Mac DeMarco,"16,836,296","18,145,084","33,569"
388,David Bowie,"16,821,498","17,901,607","25,801"
389,Shania Twain,"16,809,895","17,682,454","-67,502"
390,Emilia,"16,804,719","18,124,895","129,283"
391,George Michael,"16,790,739","16,790,739","11,776"
392,Imanbek,"16,787,217","18,669,813","-5,195"
393,Dominic Fike,"16,781,477","20,806,994","-8,872"
394,Libianca,"16,748,951","21,800,126","-106,620"
395,The Script,"16,748,730","16,748,730","7,734"
396,Russ,"16,701,888","16,701,888","59,483"
397,George Ezra,"16,660,984","18,364,138","-47,048"
398,Nile Rodgers,"16,656,408","20,102,441","-70,929"
399,Jasleen Royal,"16,651,077","16,651,077","267,477"
400,FMK,"16,640,237","17,577,323","21,536"
401,Mohit Chauhan,"16,632,516","18,491,100","12,895"
402,Zedd,"16,592,427","16,864,646","-22,999"
403,Gucci Mane,"16,553,573","16,553,573","1,207"
404,Bryson Tiller,"16,551,017","16,965,435","31,078"
405,Luis R Conriquez,"16,514,511","18,605,177",-995
406,Prince Royce,"16,491,435","17,608,087","7,869"
407,Mc Gw,"16,488,133","16,488,133","254,568"
408,Eden MuÃ±oz,"16,485,789","16,485,789","79,908"
409,Lynyrd Skynyrd,"16,456,350","16,572,873","22,202"
410,NF,"16,455,308","19,447,227","29,810"
411,LUDMILLA,"16,391,761","16,391,761","4,530"
412,Quavo,"16,303,771","17,155,421","-5,022"
413,Bill Withers,"16,261,729","16,261,729","74,148"
414,Sachet Tandon,"16,227,051","17,257,983","49,521"
415,Bruce Springsteen,"16,226,643","17,869,969","-3,525"
416,AP Dhillon,"16,210,854","16,210,854","115,404"
417,Ice Cube,"16,195,049","18,290,286","-26,247"
418,Lil Tecca,"16,138,802","16,138,802","84,030"
419,LIT killah,"16,101,675","16,770,036","38,469"
420,Kungs,"16,063,291","16,442,885","-72,315"
421,Jax Jones,"16,051,684","17,202,952","-25,656"
422,Topic,"16,040,418","16,634,144","-26,624"
423,Ella Henderson,"16,025,418","17,142,204","-27,535"
424,Los Ãngeles Azules,"16,021,310","16,021,310","69,209"
425,Jessie J,"15,971,871","16,354,955","8,482"
426,Tove Lo,"15,970,694","16,726,850","-93,002"
427,Bad Gyal,"15,942,222","15,942,222","29,193"
428,benny blanco,"15,930,635","18,291,830","15,596"
429,Rosa Linn,"15,915,017","22,368,082","-101,458"
430,Lord Huron,"15,906,977","15,906,977","46,023"
431,Gesaffelstein,"15,891,155","18,995,025","-2,050"
432,Tokischa,"15,856,953","15,856,953","20,355"
433,Banda MS de Sergio LizÃ¡rraga,"15,852,687","16,144,034","-22,071"
434,Keane,"15,823,574","16,818,849","22,462"
435,The White Stripes,"15,800,722","15,808,149","12,829"
436,MC Ryan SP,"15,750,834","15,750,834","46,689"
437,Badshah,"15,710,761","15,817,767","52,634"
438,The Goo Goo Dolls,"15,704,120","16,193,584","-66,442"
439,John Mayer,"15,629,289","17,101,929","-26,335"
440,Shankar-Ehsaan-Loy,"15,619,026","15,619,026","2,822"
441,Nickelback,"15,571,772","15,571,772","19,770"
442,070 Shake,"15,549,639","30,903,161","-45,030"
443,Ana Castela,"15,542,197","15,542,197","49,890"
444,My Chemical Romance,"15,525,039","16,000,446","17,294"
445,Sunidhi Chauhan,"15,477,126","16,752,575","7,539"
446,Cyndi Lauper,"15,453,338","16,392,835","-25,462"
447,Bon Iver,"15,427,244","15,427,244","13,230"
448,Kings of Leon,"15,415,693","15,517,769","22,547"
449,Ricky Martin,"15,401,930","15,850,419","-25,758"
450,beabadoobee,"15,334,890","17,155,398","3,646"
451,Brray,"15,301,717","15,301,717","113,328"
452,Noah Kahan,"15,259,153","16,640,382","-25,811"
453,Gwen Stefani,"15,242,336","15,462,234","7,264"
454,TV Girl,"15,240,196","15,240,196","39,325"
455,Blessd,"15,179,576","15,491,077","-27,882"
456,Santana,"15,173,412","15,311,085","-53,704"
457,Julieta Venegas,"15,136,147","15,174,990","6,715"
458,Gabry Ponte,"15,117,896","15,543,123","22,355"
459,Ovy On The Drums,"15,089,695","19,658,860","-59,762"
460,DENNIS,"15,073,535","15,645,823","-21,017"
461,NATTI NATASHA,"15,062,502","17,498,549","-27,886"
462,Amy Winehouse,"15,060,801","15,061,837",-437
463,Annie Lennox,"15,024,556","15,046,117","18,084"
464,6LACK,"15,006,811","16,978,376","-5,541"
465,Black Sabbath,"14,873,594","14,873,594","25,631"
466,Carlos Vives,"14,861,437","15,105,637","2,487"
467,B Praak,"14,842,549","16,083,066","2,728"
468,Kylie Minogue,"14,838,923","15,935,222","1,291"
469,Alejandro FernÃ¡ndez,"14,799,640","16,078,925","-17,682"
470,Lil Peep,"14,749,584","15,038,447","54,930"
471,Bomba EstÃ©reo,"14,740,676","18,055,394","-30,415"
472,Armin van Buuren,"14,739,359","15,231,658","5,944"
473,Jain,"14,707,409","16,926,660","-62,916"
474,Rusherking,"14,658,187","15,596,238","30,687"
475,Mike Posner,"14,619,745","14,745,638","-11,992"
476,Morat,"14,595,190","15,733,395","57,208"
477,Clairo,"14,585,428","14,585,428","42,681"
478,Big One,"14,579,468","16,419,449","-173,215"
479,Kunaal Vermaa,"14,549,882","14,549,882","53,629"
480,Lenny TavÃ¡rez,"14,505,595","14,627,402","3,206"
481,Disclosure,"14,499,906","15,496,017","-20,880"
482,Melanie Martinez,"14,499,873","20,251,491",-563
483,Madison Beer,"14,495,280","14,828,204","-20,928"
484,Purple Disco Machine,"14,464,092","14,934,992","114,154"
485,Weezer,"14,439,765","15,286,346","-5,803"
486,Frank Sinatra,"14,391,925","14,391,925","33,674"
487,Mithoon,"14,380,477","14,569,645","-4,183"
488,Fred again..,"14,358,951","14,508,496","-149,545"
489,Armaan Malik,"14,291,502","16,761,065","43,113"
490,Kacey Musgraves,"14,284,778","14,284,778","506,195"
491,Benson Boone,"14,274,669","14,307,536","-10,909"
492,Jorja Smith,"14,242,850","14,672,140","4,091"
493,Meek Mill,"14,213,200","15,553,179","2,426"
494,Tony Dize,"14,179,930","14,187,225","4,342"
495,Destiny's Child,"14,171,491","14,542,444",-640
496,DJ Luian,"14,170,471","19,413,064","-12,206"
497,Milky Chance,"14,151,286","15,853,645","-12,108"
498,Lukas Graham,"14,137,648","14,795,359","-97,090"
499,Empire of the Sun,"14,125,570","14,291,146","23,744"
500,New West,"14,087,997","15,372,580","-46,730"
501,Van Halen,"14,048,868","14,349,969","-50,639"
502,Passenger,"14,047,859","14,407,135","-7,560"
503,Neha Kakkar,"14,034,288","15,937,303","10,412"
504,Parampara Tandon,"14,023,788","15,379,200","34,343"
505,D-Block Europe,"14,019,098","14,019,098","458,049"
506,Jaani,"14,012,948","14,012,948","52,696"
507,24kGoldn,"14,012,294","15,117,675","-2,301"
508,Mambo Kingz,"14,009,730","19,318,210","-12,561"
509,Paulo Londra,"13,918,348","15,253,786","-20,622"
510,Tones And I,"13,912,509","14,965,603","-44,668"
511,Himesh Reshammiya,"13,897,260","14,754,090","9,306"
512,Rita Ora,"13,829,017","15,748,850","13,510"
513,Kehlani,"13,773,404","14,545,020","24,523"
514,Zendaya,"13,750,898","14,154,770","-74,981"
515,Asees Kaur,"13,746,431","15,041,867","21,085"
516,Limp Bizkit,"13,745,027","13,745,027","17,737"
517,Gym Class Heroes,"13,737,194","14,681,834","88,753"
518,Galantis,"13,730,004","16,168,291","41,419"
519,Maren Morris,"13,716,963","14,821,271","-38,673"
520,Rae Sremmurd,"13,680,387","15,144,345","-15,879"
521,Los Tucanes De Tijuana,"13,667,156","13,667,156","114,709"
522,Arcane,"13,661,956","16,018,371","16,565"
523,Sam Feldt,"13,606,617","15,313,300","-35,780"
524,Tems,"13,595,161","14,154,825","-5,647"
525,The 1975,"13,559,423","16,303,938","-12,208"
526,Foster The People,"13,556,684","13,958,743","-13,733"
527,Cage The Elephant,"13,554,549","13,555,170","6,497"
528,Tulsi Kumar,"13,553,064","14,928,757","6,810"
529,Grupo Marca Registrada,"13,553,062","15,390,642","113,315"
530,Jesse & Joy,"13,532,022","13,956,774","-74,820"
531,Alejandro Sanz,"13,520,993","14,395,340","-3,668"
532,X Ambassadors,"13,513,613","14,934,403","-10,342"
533,Sean Kingston,"13,500,823","13,512,941","7,392"
534,Rochak Kohli,"13,497,098","14,635,559","15,897"
535,Depeche Mode,"13,481,263","14,555,707","-61,547"
536,Javed Ali,"13,463,479","13,996,014","32,737"
537,Dolly Parton,"13,458,703","14,361,010","-28,438"
538,Dan + Shay,"13,428,922","15,689,498","-8,228"
539,Coolio,"13,406,704","13,884,382","27,250"
540,King,"13,383,003","16,307,386","-30,083"
541,Eyedress,"13,377,144","13,377,144","83,769"
542,Rex Orange County,"13,355,048","16,098,724","2,612"
543,Muse,"13,344,215","13,793,019","6,481"
544,Neeti Mohan,"13,342,643","14,400,198","39,665"
545,Silk Sonic,"13,330,824","15,167,191","34,781"
546,sped up nightcore,"13,329,402","17,931,530","-6,971"
547,Ms. Lauryn Hill,"13,327,564","13,354,222","-26,658"
548,Fast & Furious: The Fast Saga,"13,285,863","20,526,487","-65,995"
549,Aitana,"13,274,850","15,094,220","21,758"
550,Wisin,"13,261,016","15,614,069","28,135"
551,Machine Gun Kelly,"13,241,212","14,429,847","-11,382"
552,CÃ©line Dion,"13,224,660","13,852,973","-2,109"
553,Florida Georgia Line,"13,198,545","13,886,025","-15,679"
554,Lil Yachty,"13,193,027","13,460,078","-137,105"
555,Shubh,"13,187,776","13,187,776","20,399"
556,Scorpions,"13,184,116","13,334,338","6,395"
557,Kordhell,"13,164,820","14,497,317","-6,662"
558,Pearl Jam,"13,161,368","13,397,739","-19,878"
559,KISS,"13,149,841","13,671,399","15,827"
560,Bazzi,"13,111,121","14,609,192","-4,279"
561,Bring Me The Horizon,"13,110,469","14,321,194","20,406"
562,DJ Nelson,"13,041,599","13,041,599","20,755"
563,Chase Atlantic,"13,003,848","13,183,688","44,143"
564,Amaal Mallik,"13,000,859","13,764,448","50,758"
565,WILLOW,"12,961,454","15,561,760","32,611"
566,Dulquer Salmaan,"12,956,266","12,956,266","350,067"
567,Tammi Terrell,"12,952,760","12,952,760","105,273"
568,Blondie,"12,949,446","13,057,727","1,183"
569,The Smiths,"12,939,257","12,939,257","15,801"
570,Hariharan,"12,936,969","12,937,947",-978
571,Pablo AlborÃ¡n,"12,915,982","12,924,373","5,355"
572,Jowell & Randy,"12,914,399","12,918,152",-963
573,Laufey,"12,906,283","12,906,283","184,252"
574,The Strokes,"12,906,248","12,989,467","8,470"
575,Nicky Youre,"12,895,618","16,422,807","-38,063"
576,Taio Cruz,"12,885,150","13,246,597","24,586"
577,Boney M.,"12,859,029","13,636,105","-2,000"
578,girl in red,"12,852,327","12,881,109","27,969"
579,LuÃ­sa Sonza,"12,779,320","12,779,320","295,469"
580,Milo j,"12,759,373","14,194,175","-71,972"
581,Yahritza Y Su Esencia,"12,752,992","15,778,618","-106,618"
582,Van Morrison,"12,740,150","13,440,284","-36,658"
583,The Game,"12,704,338","12,717,750","-4,039"
584,Jack Johnson,"12,696,219","12,705,571","-9,352"
585,NAV,"12,685,475","24,009,796","-55,817"
586,Dermot Kennedy,"12,666,199","14,690,713","-20,092"
587,Nio Garcia,"12,636,759","13,791,945","-3,359"
588,MGMT,"12,632,508","12,859,126","5,758"
589,MarÃ­lia MendonÃ§a,"12,621,397","14,932,890","36,152"
590,Lata Mangeshkar,"12,599,244","12,686,479","6,387"
591,Gusttavo Lima,"12,574,418","12,574,418","56,792"
592,MNEK,"12,574,196","13,903,326","-21,366"
593,Electric Light Orchestra,"12,535,208","13,492,386","-5,849"
594,Jeremih,"12,527,656","12,527,656","11,115"
595,S3BZS,"12,517,406","12,517,406","26,250"
596,Kane Brown,"12,491,654","13,741,481","-25,224"
597,Mc Don Juan,"12,453,939","12,740,103","11,249"
598,Evanescence,"12,427,349","12,427,349","9,843"
599,Benny Dayal,"12,400,284","12,400,284","40,123"
600,Bradley Cooper,"12,397,414","13,661,847","-12,349"
601,Sid Sriram,"12,396,163","12,396,163","8,565"
602,Mau y Ricky,"12,388,586","12,943,019","7,021"
603,Henrique & Juliano,"12,375,381","12,589,995","45,111"
604,iann dior,"12,374,919","14,436,905","65,013"
605,Chino Pacas,"12,362,414","13,958,546","207,980"
606,Sky Rompiendo,"12,316,903","16,344,563","-32,532"
607,Rahat Fateh Ali Khan,"12,281,250","14,303,179","-9,645"
608,Fergie,"12,233,012","12,233,012","13,905"
609,Rick Ross,"12,232,666","12,417,329","6,275"
610,Payal Dev,"12,229,639","12,229,639","21,070"
611,Loreen,"12,194,769","18,358,956","-33,346"
612,Foreigner,"12,184,975","13,868,177","39,247"
613,Eurythmics,"12,176,576","12,176,576","18,371"
614,Tyler Childers,"12,153,177","12,153,177","109,164"
615,Hailee Steinfeld,"12,150,295","14,217,074","-13,928"
616,Gustavo Mioto,"12,149,819","12,149,819","17,121"
617,The Beach Boys,"12,148,056","13,022,489","7,448"
618,Selena Gomez & The Scene,"12,134,825","12,240,569","86,410"
619,Christina Perri,"12,120,972","13,177,892","-5,071"
620,Dalex,"12,120,281","15,759,825","15,014"
621,Shekhar Ravjiani,"12,105,273","15,805,465","21,305"
622,Oscar Maydon,"12,096,350","12,908,036","-2,687"
623,Chayanne,"12,082,584","12,084,182","-1,598"
624,Matheus & Kauan,"12,069,790","12,069,790","22,466"
625,Yeat,"12,057,928","12,395,785","-78,240"
626,Eric Clapton,"12,022,195","12,508,878","-7,914"
627,Logic,"12,003,658","13,970,820","-7,684"
628,M83,"11,982,170","12,006,228","-8,194"
629,Luan Pereira,"11,962,077","11,962,077","63,603"
630,Michael BublÃ©,"11,953,122","11,953,122","58,394"
631,Noah Cyrus,"11,929,770","13,719,050","14,980"
632,Slipknot,"11,905,027","12,652,937","5,819"
633,S. P. Balasubrahmanyam,"11,899,072","11,902,413","-2,091"
634,Ashe,"11,866,980","11,929,826","-23,603"
635,will.i.am,"11,865,210","12,835,275","10,366"
636,Blur,"11,847,080","12,999,306","-68,004"
637,Goodboys,"11,828,871","12,349,197","-28,837"
638,Seeb,"11,828,823","12,208,460","-21,254"
639,keshi,"11,822,317","13,668,403","-33,672"
640,Kumaar,"11,797,376","16,746,132","55,927"
641,Felipe Amorim,"11,785,140","11,785,140","58,741"
642,Tina Turner,"11,782,461","19,164,105","-25,684"
643,Calibre 50,"11,776,754","12,843,859","-4,969"
644,CKay,"11,767,760","15,504,745","-27,024"
645,Thundercat,"11,752,053","14,506,297","27,697"
646,Beach House,"11,751,820","12,185,948","11,262"
647,Normani,"11,751,362","12,124,105","42,517"
648,Morad,"11,724,819","12,132,801","-40,149"
649,Luan Santana,"11,716,351","11,716,351","17,311"
650,James Hype,"11,714,485","13,541,656","-31,342"
651,Jatin-Lalit,"11,711,637","11,713,102","-1,465"
652,Busta Rhymes,"11,709,674","11,856,664","104,944"
653,dazy,"11,698,866","14,690,270","-24,488"
654,T-Pain,"11,690,949","11,766,687","3,816"
655,DNCE,"11,686,566","11,981,312","-7,310"
656,Robbie Williams,"11,681,764","11,875,920","-20,030"
657,Loud Luxury,"11,678,616","12,238,932","17,857"
658,SYML,"11,673,747","13,654,711","-6,871"
659,SalimâSulaiman,"11,668,946","12,134,086","-4,185"
660,Sigala,"11,667,778","15,011,420","-40,060"
661,James Blunt,"11,656,003","12,564,967","-34,921"
662,Ke Personajes,"11,653,793","11,789,284","-14,229"
663,ZÃ© Neto & Cristiano,"11,653,473","11,653,473","32,024"
664,Luke Bryan,"11,646,218","12,170,317","-46,866"
665,The Clash,"11,627,935","12,028,653","-23,901"
666,Sade,"11,627,309","12,799,239","-11,727"
667,AURORA,"11,613,956","13,167,918","3,975"
668,V,"11,606,153","11,606,153","302,681"
669,Saiko,"11,603,478","11,603,478","210,934"
670,A$AP Ferg,"11,600,864","12,133,735",-906
671,James Bay,"11,592,902","11,931,200","-75,770"
672,Spice Girls,"11,577,466","12,466,014","-31,224"
673,Lyanno,"11,574,495","14,535,766","-35,490"
674,Paul McCartney,"11,573,817","12,562,122","34,147"
675,Tracy Chapman,"11,560,802","11,917,981","-39,568"
676,INNA,"11,553,441","11,722,076","-24,594"
677,Mari Fernandez,"11,536,832","12,592,523","11,548"
678,Johnny Cash,"11,534,601","11,955,065","-7,545"
679,Wham!,"11,533,536","11,533,536","7,873"
680,Papa Roach,"11,525,569","11,525,569","14,786"
681,Aretha Franklin,"11,524,332","13,183,598","-12,877"
682,Key Glock,"11,519,380","11,519,380","52,042"
683,The Pussycat Dolls,"11,516,978","11,566,351","-1,145"
684,Ciara,"11,498,096","11,780,496","-29,467"
685,Kate Bush,"11,490,818","14,101,915",-452
686,Sukhwinder Singh,"11,489,132","11,489,132","56,895"
687,FISHER,"11,488,151","11,494,578","-6,427"
688,Lionel Richie,"11,482,572","11,623,824","-7,760"
689,Anu Malik,"11,473,160","12,058,014","-3,301"
690,WALK THE MOON,"11,444,526","11,883,990","-23,965"
691,Simon & Garfunkel,"11,409,572","12,013,714","1,567"
692,Marc Anthony,"11,403,042","14,118,563","-9,315"
693,Yuvan Shankar Raja,"11,396,407","11,396,407","9,709"
694,Billy Idol,"11,379,187","11,900,592","-1,662"
695,Altamash Faridi,"11,376,980","13,542,217","-39,361"
696,John Newman,"11,366,247","12,154,111","-19,411"
697,3 Doors Down,"11,363,335","11,435,840","-26,212"
698,Zac Brown Band,"11,359,157","11,574,609","3,249"
699,John Martin,"11,351,478","11,535,835","-26,272"
700,K. S. Chithra,"11,339,272","11,364,537","-14,727"
701,Los Enanitos Verdes,"11,317,703","11,538,324","30,337"
702,Cults,"11,316,837","13,266,271","11,862"
703,Lin-Manuel Miranda,"11,315,976","12,025,330",569
704,Mitski,"11,310,399","11,457,947","29,225"
705,Prince,"11,296,425","11,836,356","6,771"
706,Kadu Martins,"11,268,989","11,268,989","12,573"
707,Santa Fe Klan,"11,255,812","11,255,812","143,758"
708,Devi Sri Prasad,"11,241,644","12,101,218","15,515"
709,Tom Petty,"11,238,824","11,238,824","16,537"
710,Moneybagg Yo,"11,237,831","13,361,761","-14,579"
711,The Walters,"11,237,281","11,865,299","2,582"
712,(G)I-DLE,"11,207,374","12,216,685","-37,538"
713,Ãejo,"11,203,209","11,625,762","-5,023"
714,Jorge & Mateus,"11,197,401","11,885,902","20,435"
715,Brytiago,"11,182,139","11,182,139","57,329"
716,YG,"11,179,867","12,471,725","-14,265"
717,Dove Cameron,"11,178,406","15,363,797","504,512"
718,Jaymes Young,"11,176,774","13,123,344","-37,989"
719,The Doors,"11,176,130","11,823,570","10,514"
720,Soulja Boy,"11,166,216","11,166,216","6,596"
721,James Blake,"11,165,921","12,512,105","42,820"
722,$uicideboy$,"11,158,631","11,182,829","-24,198"
723,Leon Bridges,"11,155,370","11,503,891","1,794"
724,Stromae,"11,146,761","11,758,771","-14,365"
725,Joan Sebastian,"11,144,520","11,169,107","2,832"
726,Diljit Dosanjh,"11,136,581","11,708,690","32,217"
727,Amit Trivedi,"11,134,514","14,989,573","7,880"
728,Manu Chao,"11,122,415","11,659,241","-37,867"
729,LISA,"11,105,985","13,364,607","-34,180"
730,Seafret,"11,059,486","12,965,413","-19,834"
731,JhenÃ© Aiko,"11,026,717","11,509,802","9,468"
732,Israel & Rodolffo,"10,999,760","11,483,711","17,351"
733,H.E.R.,"10,995,651","12,500,641","12,114"
734,SOG,"10,993,866","10,993,866","97,184"
735,Wesley SafadÃ£o,"10,977,362","10,997,207","43,324"
736,YNW Melly,"10,970,283","12,098,740",278
737,Gurinder Gill,"10,967,648","11,301,680","3,004"
738,Diddy,"10,949,396","12,776,020","-46,488"
739,Maiara & Maraisa,"10,933,833","10,933,833","50,480"
740,Carrie Underwood,"10,920,421","11,522,881","-64,633"
741,Timmy Trumpet,"10,917,802","10,941,916","-24,114"
742,Rod Stewart,"10,902,571","11,575,035",686
743,The Smashing Pumpkins,"10,902,411","11,044,641","-13,017"
744,Bailey Zimmerman,"10,899,853","10,899,853","1,914"
745,Bob Sinclar,"10,876,773","10,955,141","-10,800"
746,La Oreja de Van Gogh,"10,876,307","10,876,307","14,827"
747,Gotye,"10,840,730","10,840,730","29,316"
748,Nas,"10,831,547","13,392,042","-50,880"
749,Dimitri Vegas & Like Mike,"10,829,912","11,669,908","-4,864"
750,Yo Yo Honey Singh,"10,815,334","11,186,775","30,103"
751,SofÃ­a Reyes,"10,804,609","12,276,010","-6,177"
752,Counting Crows,"10,803,347","10,864,205","-7,562"
753,Thaman S,"10,780,487","10,780,487","4,563"
754,Cosculluela,"10,767,894","11,011,074","90,122"
755,Hombres G,"10,757,760","10,758,994",790
756,T.I.,"10,744,267","11,230,035","64,661"
757,La Adictiva,"10,724,164","11,239,076","-14,577"
758,Juan Luis Guerra 4.40,"10,718,577","10,964,025",-128
759,TLC,"10,668,115","11,111,317","23,708"
760,Lenny Kravitz,"10,665,928","10,957,172","-3,762"
761,Roxette,"10,649,681","11,155,709","-6,432"
762,Justine Skye,"10,635,767","11,860,302","-45,301"
763,Rammstein,"10,629,300","11,805,127","-7,080"
764,INTERWORLD,"10,600,701","10,809,092","4,700"
765,Disturbed,"10,586,327","10,678,951","10,856"
766,Ben E. King,"10,584,109","10,701,873","-51,197"
767,Ayra Starr,"10,558,716","12,798,195","101,958"
768,Rudimental,"10,546,446","11,195,138","-3,350"
769,Chance the Rapper,"10,543,446","10,952,938","-1,952"
770,6ix9ine,"10,526,119","12,167,814","-26,141"
771,Darell,"10,508,541","10,922,504","-11,758"
772,Sasha Alex Sloan,"10,504,600","14,497,829","-2,335"
773,Jeremy Zucker,"10,500,742","12,231,275","-10,697"
774,Beach Weather,"10,491,090","11,162,772","5,898"
775,Camila,"10,489,182","10,489,182","14,104"
776,KHEA,"10,483,684","12,238,856","9,567"
777,Soda Stereo,"10,471,468","10,471,468","17,151"
778,Shouse,"10,465,461","13,218,201","-27,428"
779,Mumford & Sons,"10,459,358","10,459,358","4,588"
780,Korn,"10,456,482","10,504,909","6,119"
781,Mary J. Blige,"10,456,126","10,456,126","10,476"
782,Olivia Newton-John,"10,431,333","11,031,469","26,971"
783,KALEO,"10,426,944","10,426,944","83,645"
784,Survivor,"10,411,352","10,572,103","-5,284"
785,John Lennon,"10,405,541","11,118,291","37,453"
786,Guilherme & Benuto,"10,400,018","10,856,086","37,079"
787,Cartel De Santa,"10,378,022","15,547,760","-8,757"
788,2 Chainz,"10,353,764","13,821,264","-15,823"
789,Kumar Sanu,"10,349,727","10,352,600","3,210"
790,Danna Paola,"10,342,684","12,298,665","-27,840"
791,Cazzu,"10,342,214","10,701,834","50,694"
792,Shinda Kahlon,"10,329,353","10,329,353","60,849"
793,bbno$,"10,325,079","10,348,710","-4,141"
794,Gigi D'Agostino,"10,322,082","10,406,240","-15,920"
795,Jordan Davis,"10,318,612","11,241,855","-24,049"
796,A7S,"10,311,540","11,363,223",-44
797,Fifth Harmony,"10,304,947","10,680,046","3,174"
798,fun.,"10,301,628","12,280,955","45,551"
799,Belanova,"10,284,935","10,284,935","35,238"
800,FAST BOY,"10,276,283","11,900,190","-17,078"
801,Flume,"10,274,981","10,814,253",-687
802,Veigh,"10,271,396","10,271,396","13,980"
803,Mc Livinho,"10,269,046","10,591,190","2,208"
804,Regard,"10,268,704","11,405,051",-175
805,TOMORROW X TOGETHER,"10,262,457","11,544,021","-55,041"
806,Thomas Rhett,"10,242,227","11,239,778","-20,452"
807,SAINt JHN,"10,240,598","10,812,618","16,196"
808,Jess Glynne,"10,229,614","10,766,008","-13,781"
809,Matheus Fernandes,"10,225,156","10,225,156","58,225"
810,Zion,"10,224,872","11,549,405","-15,743"
811,AJR,"10,205,951","11,478,322","-25,210"
812,Kenny Loggins,"10,200,387","10,573,523","-10,615"
813,Wizkid,"10,193,951","13,758,308","-18,717"
814,Marco Antonio SolÃ­s,"10,190,863","10,296,202","-1,362"
815,Shadab Faridi,"10,177,076","12,567,527","-48,062"
816,Three Days Grace,"10,168,254","10,307,314","41,295"
817,GAYLE,"10,166,833","12,635,740","-36,078"
818,Kimbra,"10,161,294","10,161,294","25,682"
819,Yusuf / Cat Stevens,"10,141,636","10,681,674","-13,376"
820,Hans Zimmer,"10,132,691","10,132,691","21,153"
821,Jessie Reyez,"10,131,037","21,763,207","11,813"
822,Lizzy McAlpine,"10,123,490","18,459,665","-37,722"
823,Sadhana Sargam,"10,114,594","10,217,430","-2,607"
