Rank,Artist,Listeners,PkListeners,Daily Trend
2480,Seu Jorge,"4,312,748","4,312,748","20,880"
2481,Drowning Pool,"4,309,452","4,309,452","5,409"
2482,Onda Sabanera,"4,306,896","4,679,162",-304
2483,Mura Masa,"4,305,378","4,790,556","76,251"
2484,SG Lewis,"4,298,481","5,053,596","1,266"
2485,Grupo Recluta,"4,297,878","5,750,882","19,347"
2486,Chalino Sanchez,"4,296,192","4,331,248","5,641"
2487,Styx,"4,295,710","4,375,989","-2,349"
2488,Kris Kristofferson,"4,294,989","4,294,989","13,258"
2489,Tierry,"4,293,968","4,293,968","27,789"
2490,Ritviz,"4,292,828","4,344,270","1,199"
2491,Merk & Kremont,"4,292,348","4,412,388","-8,004"
2492,Parson James,"4,291,689","4,293,608","7,463"
2493,Christopher Jackson,"4,286,251","4,286,251","43,947"
2494,Rush,"4,285,059","4,285,059","5,048"
2495,YBN Nahmir,"4,281,434","4,684,202","-3,328"
2496,Jos̩ Luis Perales,"4,279,952","4,361,097","1,953"
2497,Olamide,"4,279,241","4,301,258",-415
2498,Shalmali Kholgade,"4,277,053","4,717,659","6,831"
2499,La Receta,"4,276,935","4,401,754","-22,632"
2500,Violet Days,"4,274,633","4,974,853","-37,993"
